ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11563950,JC112486,1/11/2019 2:00,001XX W HUBBARD ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,,,2019,1/18/2019 9:37,,,
11563955,JC112973,1/8/2019 17:26,016XX N SHEFFIELD AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1813,18,2,7,6,,,2019,1/18/2019 9:37,,,
11568989,JC119284,1/1/2019 17:22,013XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1433,14,1,24,6,,,2019,1/18/2019 9:37,,,
11566843,JC117071,1/4/2019 12:00,004XX W HURON ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1831,18,42,8,6,,,2019,1/18/2019 9:37,,,
11568965,JC119276,1/7/2019 12:40,013XX N ASHLAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1433,14,1,24,6,,,2019,1/18/2019 9:37,,,
11565717,JC115667,1/2/2019 11:54,017XX N ARTESIAN AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1434,14,1,24,6,,,2019,1/18/2019 9:37,,,
11567880,JC118043,1/10/2019 0:00,004XX N CLARK ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,,,2019,1/18/2019 9:37,,,
11565727,JC115728,1/2/2019 15:00,020XX W CRYSTAL ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1424,14,1,24,6,,,2019,1/18/2019 9:37,,,
11566245,JC116371,1/14/2019 11:00,001XX W IDA B WELLS DR,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,121,1,4,32,6,,,2019,1/23/2019 11:26,,,
11567882,JC118222,1/12/2019 16:59,049XX S ST LAWRENCE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,223,2,4,38,6,,,2019,1/23/2019 11:26,,,
11567897,JC118214,1/14/2019 6:50,0000X W C1 ST,870,THEFT,POCKET-PICKING,AIRCRAFT,FALSE,FALSE,1651,16,41,76,6,,,2019,1/23/2019 11:26,,,
11570082,JC120184,1/16/2019 16:45,051XX S KIMBARK AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,234,2,4,41,6,,,2019,1/23/2019 11:26,,,
11571099,JC121115,1/17/2019 16:30,011XX W ARGYLE ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,2033,20,48,3,6,,,2019,1/24/2019 16:19,,,
11579770,JC132761,1/14/2019 13:28,052XX N SHERIDAN RD,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2023,20,48,77,6,,,2019,1/29/2019 16:19,,,
11571840,JC122456,1/18/2019 11:25,008XX W MONTROSE AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1914,19,46,3,6,,,2019,1/25/2019 16:14,,,
11579750,JC132874,1/24/2019 6:30,015XX W FARGO AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2422,24,49,1,5,,,2019,2/16/2019 15:59,,,
