Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.008E+13,12/8/2008,1030,12/8/2008,2104,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E1,CAPITOL HILL
2.008E+13,12/8/2008,1050,12/9/2008,1125,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K2,PIONEER SQUARE
2.008E+13,12/8/2008,1100,12/8/2008,1701,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S1,MID BEACON HILL
2.008E+13,12/8/2008,1115,12/8/2008,1345,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,SLU/CASCADE
2.008E+13,12/8/2008,1139,12/8/2008,1248,CAR PROWL,THEFT-CARPROWL,EAST,E,E2,FIRST HILL
2.008E+13,12/8/2008,1200,12/9/2008,1106,CAR PROWL,THEFT-CARPROWL,WEST,D,D1,BELLTOWN
2.008E+13,12/8/2008,1200,12/10/2008,2024,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L2,NORTHGATE
2.008E+13,12/8/2008,1300,12/8/2008,1300,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.008E+13,12/8/2008,1300,12/8/2008,1847,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,M,M1,BELLTOWN
2.008E+13,12/8/2008,1300,12/9/2008,1132,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2.008E+13,12/8/2008,1315,12/8/2008,1526,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,SOUTH BEACON HILL
2.008E+13,12/8/2008,1321,12/10/2008,1118,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J3,PHINNEY RIDGE
2.008E+13,12/8/2008,1345,12/8/2008,1345,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,J,J1,BALLARD NORTH
2.008E+13,12/8/2008,1350,12/8/2008,1608,CAR PROWL,THEFT-CARPROWL,WEST,K,K1,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,1400,12/29/2008,934,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNIVERSITY
2.008E+13,12/8/2008,1400,12/8/2008,1508,CAR PROWL,THEFT-CARPROWL,WEST,K,K2,DOWNTOWN COMMERCIAL
2.008E+13,12/8/2008,1430,12/8/2008,1908,CAR PROWL,THEFT-CARPROWL,EAST,E,E1,CAPITOL HILL
2.008E+13,12/8/2008,1445,12/8/2008,1719,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,S,S1,MID BEACON HILL
2.008E+13,12/8/2008,1450,12/8/2008,1450,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U2,UNIVERSITY
2.008E+13,12/8/2008,1500,12/9/2008,809,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,G,G3,MADRONA/LESCHI
2.008E+13,12/8/2008,1500,12/9/2008,1355,CAR PROWL,THEFT-CARPROWL,WEST,Q,Q2,QUEEN ANNE
2.008E+13,12/8/2008,1515,12/10/2008,1056,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,K,K1,DOWNTOWN COMMERCIAL
