Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.018E+13,1/1/2018,1215,1/31/2018,1225,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U3,SANDPOINT
20180000564,1/1/2018,1220,1/3/2018,1957,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000662,1/1/2018,1250,1/1/2018,1512,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000747,1/1/2018,1300,1/1/2018,1435,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M2,DOWNTOWN COMMERCIAL
2.018E+13,1/1/2018,1300,5/26/2018,1512,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,L,L1,LAKECITY
2.018E+11,1/1/2018,1400,1/2/2018,1405,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L1,LAKECITY
20180000654,1/1/2018,1500,1/1/2018,1746,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NORTHGATE
20180000857,1/1/2018,1500,1/1/2018,1742,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2.018E+11,1/1/2018,1500,1/2/2018,935,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,U,U3,SANDPOINT
20180000724,1/1/2018,1514,1/1/2018,1514,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-WEAPON,NORTH,U,U3,SANDPOINT
2.018E+11,1/1/2018,1524,1/2/2018,1907,THEFT-BUILDING,THEFT-BUILDING,SOUTH,S,S3,RAINIER BEACH
20180000748,1/1/2018,1525,1/3/2018,1933,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000795,1/1/2018,1617,1/1/2018,1617,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
20180000821,1/1/2018,1645,1/1/2018,1645,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
20180000823,1/1/2018,1648,1/1/2018,1648,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
20180000840,1/1/2018,1715,1/1/2018,1720,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
20180000846,1/1/2018,1727,1/1/2018,1727,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+13,1/1/2018,1745,3/21/2018,1956,THEFT-ALL OTHER,THEFT-MAIL,SOUTH,R,R1,MID BEACON HILL
2.018E+13,1/1/2018,1800,1/5/2018,1725,THEFT-BICYCLE,THEFT-BICYCLE,WEST,Q,Q2,QUEEN ANNE
2.019E+11,1/1/2018,1800,1/2/2019,1237,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B2,FREMONT
2.018E+13,1/1/2018,1840,1/2/2018,849,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,SLU/CASCADE
20180000916,1/1/2018,1856,1/1/2018,1856,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,O,O2,SODO
2.018E+12,1/1/2018,1923,3/2/2018,1923,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J1,BALLARD NORTH
2.018E+13,1/1/2018,2000,1/2/2018,1823,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,BELLTOWN
20180000991,1/1/2018,2028,1/1/2018,2028,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+11,1/1/2018,2100,1/2/2018,24,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O2,GEORGETOWN
2.018E+13,1/1/2018,2200,1/2/2018,1203,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,GEORGETOWN
2.018E+11,1/1/2018,2200,1/2/2018,1529,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D2,QUEEN ANNE
2.018E+11,1/1/2018,2250,1/2/2018,12,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E2,CAPITOL HILL
2.019E+11,1/1/2018,2300,1/2/2019,721,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W1,NORTH ADMIRAL
2.018E+11,1/1/2018,2351,1/2/2018,4,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O3,GEORGETOWN
2.018E+11,1/2/2018,517,1/2/2018,643,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,N,N3,NORTHGATE
2.018E+11,1/2/2018,530,1/2/2018,549,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,N,N3,GREENWOOD
2.018E+11,1/2/2018,530,1/2/2018,833,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
2.018E+11,1/2/2018,550,1/2/2018,749,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K3,PIONEER SQUARE
2.018E+11,1/2/2018,600,1/2/2018,1827,THEFT-BUILDING,THEFT-BUILDING,WEST,D,D3,SLU/CASCADE
2.018E+11,1/2/2018,733,1/2/2018,733,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U3,ROOSEVELT/RAVENNA
2.018E+13,1/2/2018,800,1/29/2018,1651,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
2.018E+13,1/2/2018,815,1/4/2018,2021,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NORTH DELRIDGE
2.018E+11,1/2/2018,821,1/2/2018,821,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,BALLARD SOUTH
2.018E+11,1/2/2018,830,1/2/2018,1748,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R2,MOUNT BAKER
2.018E+11,1/2/2018,830,1/3/2018,1135,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C1,EASTLAKE - EAST
2.018E+13,1/2/2018,900,1/2/2018,1809,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q3,QUEEN ANNE
2.018E+11,1/2/2018,900,1/4/2018,1816,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,J,J1,BALLARD NORTH
2.018E+11,1/2/2018,900,1/2/2018,900,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E1,CAPITOL HILL
2.018E+11,1/2/2018,907,1/2/2018,907,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O1,SODO
2.018E+11,1/2/2018,1004,1/3/2018,1004,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+11,1/2/2018,1011,1/3/2018,2108,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,ROOSEVELT/RAVENNA
2.018E+11,1/2/2018,1056,1/2/2018,1056,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,W,W2,ALASKA JUNCTION
2.018E+11,1/2/2018,1153,1/2/2018,1205,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2.018E+12,1/2/2018,1200,1/16/2018,1238,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
2.018E+11,1/2/2018,1200,1/5/2018,1443,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,SOUTHWEST,W,W1,NORTH ADMIRAL
2.018E+13,1/2/2018,1200,1/2/2018,1638,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,FREMONT
2.018E+11,1/2/2018,1217,1/2/2018,1321,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D1,BELLTOWN
2.018E+11,1/2/2018,1220,1/2/2018,1248,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.018E+11,1/2/2018,1229,1/2/2018,1550,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R2,MOUNT BAKER
2.018E+13,1/2/2018,1230,1/3/2018,1041,THEFT-BUILDING,THEFT-BUILDING,NORTH,L,L2,NORTHGATE
2.018E+11,1/2/2018,1245,1/3/2018,1718,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U2,UNIVERSITY
2.018E+11,1/2/2018,1300,1/2/2018,2232,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L1,NORTHGATE
2.018E+11,1/2/2018,1350,1/2/2018,1355,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+13,1/2/2018,1400,1/5/2018,1721,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,UNIVERSITY
2.018E+11,1/2/2018,1400,1/2/2018,1449,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2.018E+13,1/2/2018,1400,1/8/2018,2203,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,UNIVERSITY
2.018E+11,1/2/2018,1411,1/2/2018,1411,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,NORTH BEACON HILL
2.018E+13,1/2/2018,1420,1/15/2018,1423,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W2,NORTH DELRIDGE
2.018E+11,1/2/2018,1500,1/6/2018,2154,MOTOR VEHICLE THEFT,VEH-THEFT-TRAILER,SOUTH,S,S2,BRIGHTON/DUNLAP
2.018E+13,1/2/2018,1515,1/3/2018,1153,THEFT-ALL OTHER,THEFT-OTH,EAST,C,C3,MADRONA/LESCHI
2.018E+11,1/2/2018,1530,1/2/2018,1530,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L2,NORTHGATE
2.018E+11,1/2/2018,1600,1/4/2018,1548,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M3,DOWNTOWN COMMERCIAL
2.018E+11,1/2/2018,1600,1/6/2018,1029,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S3,RAINIER VIEW
2.018E+11,1/2/2018,1620,1/2/2018,1620,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R2,MOUNT BAKER
2.018E+12,1/2/2018,1655,1/23/2018,1033,THEFT-ALL OTHER,THEFT-OTH,WEST,Q,Q2,QUEEN ANNE
2.018E+13,1/2/2018,1700,1/6/2018,1022,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M1,DOWNTOWN COMMERCIAL
2.018E+11,1/2/2018,1700,1/4/2018,605,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,SOUTHWEST,W,W1,NORTH DELRIDGE
2.018E+11,1/2/2018,1700,1/3/2018,814,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B3,WALLINGFORD
2.018E+11,1/2/2018,1730,1/3/2018,626,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,W,W1,NORTH ADMIRAL
2.018E+11,1/2/2018,1730,1/2/2018,1821,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J3,ROOSEVELT/RAVENNA
2.018E+11,1/2/2018,1737,1/2/2018,1737,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D3,SLU/CASCADE
2.018E+11,1/2/2018,1749,1/2/2018,1750,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B1,BALLARD SOUTH
2.018E+11,1/2/2018,1753,1/2/2018,1900,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,GREENWOOD
2.018E+11,1/2/2018,1800,1/5/2018,1915,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,E,E3,FIRST HILL
2.018E+12,1/2/2018,0,2/8/2018,1150,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2.018E+11,1/2/2018,100,1/2/2018,1818,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,J,J1,GREENWOOD
2.018E+11,1/2/2018,420,1/2/2018,420,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E2,CAPITOL HILL
2.018E+11,1/2/2018,500,1/2/2018,1532,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,DOWNTOWN COMMERCIAL
2.018E+11,1/2/2018,1812,1/2/2018,1913,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,UNIVERSITY
2.018E+11,1/2/2018,1822,1/2/2018,1822,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R2,NORTH BEACON HILL
2.018E+11,1/2/2018,1848,1/2/2018,1848,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,J,J1,GREENWOOD
2.018E+13,1/2/2018,1910,1/3/2018,1914,THEFT-ALL OTHER,THEFT-MAIL,NORTH,L,L2,NORTHGATE
2.018E+11,1/2/2018,1910,1/2/2018,1917,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+13,1/2/2018,1930,1/4/2018,1209,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B1,BALLARD SOUTH
2.018E+11,1/2/2018,1935,1/2/2018,1935,THEFT-BUILDING,THEFT-BUILDING,NORTH,U,U1,UNIVERSITY
2.018E+11,1/2/2018,2000,1/4/2018,1321,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,EAST,E,E1,CAPITOL HILL
2.018E+11,1/2/2018,2000,1/3/2018,615,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F2,HIGHLAND PARK
2.018E+11,1/2/2018,2001,1/2/2018,2120,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,E,E1,CAPITOL HILL
2.018E+11,1/2/2018,2030,1/4/2018,1248,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U3,SANDPOINT
2.018E+11,1/2/2018,2030,1/3/2018,1059,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,S,S3,RAINIER BEACH
2.018E+11,1/2/2018,2035,1/2/2018,2035,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
2.018E+11,1/2/2018,2048,1/2/2018,2048,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E3,FIRST HILL
2.018E+11,1/2/2018,2058,1/2/2018,2058,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,B,B3,WALLINGFORD
2.018E+11,1/2/2018,2100,1/3/2018,700,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,NORTH,N,N2,NORTHGATE
2.018E+11,1/2/2018,2100,1/5/2018,1314,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,NORTHGATE
2.018E+11,1/2/2018,2100,1/3/2018,534,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,U,U3,SANDPOINT
2.018E+11,1/2/2018,2116,1/2/2018,2116,ARSON,ARSON-VEHICLE,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2.018E+11,1/2/2018,2140,1/3/2018,941,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+11,1/2/2018,2149,1/2/2018,2149,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+11,1/2/2018,2200,1/4/2018,958,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W1,NORTH ADMIRAL
2.018E+11,1/2/2018,2359,1/4/2018,1436,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,B,B2,BALLARD SOUTH
2.018E+11,1/3/2018,0,1/4/2018,953,THEFT-ALL OTHER,THEFT-MAIL,NORTH,N,N3,NORTHGATE
2.018E+11,1/3/2018,457,1/3/2018,502,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,O,O3,MID BEACON HILL
2.018E+11,1/3/2018,600,1/3/2018,641,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2.018E+11,1/3/2018,600,1/8/2018,1231,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B1,BALLARD SOUTH
2.018E+11,1/3/2018,617,1/3/2018,722,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL
2.018E+11,1/3/2018,650,1/3/2018,650,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O2,SODO
2.018E+11,1/3/2018,700,1/3/2018,1117,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N2,NORTHGATE
2.018E+11,1/3/2018,700,1/4/2018,1920,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,F,F1,PIGEON POINT
2.018E+11,1/3/2018,730,1/3/2018,1759,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R3,COLUMBIA CITY
2.018E+11,1/3/2018,734,1/3/2018,734,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,WEST,K,K2,PIONEER SQUARE
2.018E+11,1/3/2018,743,1/3/2018,743,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,L,L2,NORTHGATE
2.018E+11,1/3/2018,800,1/3/2018,816,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTHWEST,F,F2,SOUTH DELRIDGE
2.018E+11,1/3/2018,806,1/3/2018,949,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B3,WALLINGFORD
2.018E+11,1/3/2018,826,1/3/2018,826,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,NORTH ADMIRAL
2.018E+13,1/3/2018,905,1/8/2018,1214,THEFT-ALL OTHER,THEFT-OTH,NORTH,L,L1,LAKECITY
2.018E+11,1/3/2018,930,1/3/2018,932,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.018E+11,1/3/2018,945,1/3/2018,945,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R3,COLUMBIA CITY
2.018E+12,1/3/2018,957,3/5/2018,957,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,B,B1,BALLARD SOUTH
2.018E+11,1/3/2018,958,1/3/2018,958,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,W,W1,NORTH ADMIRAL
