Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2.019E+11,1/3/19,1302,1/3/19,1302,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.019E+11,1/3/19,1338,1/3/19,1338,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2.019E+13,1/3/19,1356,1/3/19,2005,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J1,BALLARD NORTH
2.019E+11,1/3/19,1356,1/3/19,1517,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U1,SANDPOINT
2.019E+11,1/3/19,1412,1/3/19,1412,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R1,NORTH BEACON HILL
2.019E+11,1/3/19,1453,1/3/19,1453,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,SOUTH,R,R2,NORTH BEACON HILL
2.019E+11,1/3/19,1512,1/3/19,1512,THEFT-BICYCLE,THEFT-BICYCLE,SOUTH,O,O1,SODO
2.019E+11,1/3/19,1548,1/3/19,1706,ROBBERY-COMMERCIAL,ROBBERY-BANK-GUN,EAST,C,C1,CAPITOL HILL
2.019E+13,1/3/19,1600,1/10/19,1943,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B2,FREMONT
2.019E+11,1/3/19,1630,1/4/19,1656,THEFT-ALL OTHER,THEFT-OTH,WEST,D,D3,SLU/CASCADE
2.019E+11,1/3/19,1645,1/4/19,840,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,W,W3,MORGAN
2.019E+13,1/3/19,1650,1/5/19,2017,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNIVERSITY
2.019E+11,1/3/19,1700,1/4/19,1504,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.019E+11,1/3/19,1700,1/4/19,817,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,EAST,E,E1,CAPITOL HILL
2.019E+11,1/3/19,1733,1/3/19,1733,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,J,J1,BALLARD NORTH
2.019E+13,1/3/19,1740,1/16/19,1754,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,FREMONT
2.019E+11,1/3/19,1800,1/4/19,949,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C3,CENTRAL AREA/SQUIRE PARK
2.019E+11,1/3/19,1815,1/4/19,1026,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,U,U2,UNIVERSITY
2.019E+11,1/3/19,1816,1/3/19,1816,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R1,NORTH BEACON HILL
2.019E+13,1/3/19,1828,1/3/19,2018,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
2.019E+11,1/3/19,1842,1/3/19,1842,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U3,ROOSEVELT/RAVENNA
2.019E+13,1/3/19,1850,1/3/19,2203,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N1,BITTERLAKE
2.019E+13,1/3/19,1855,1/3/19,1915,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
2.019E+11,1/3/19,1900,1/4/19,729,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B2,FREMONT
2.019E+11,1/3/19,1903,1/3/19,1903,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L3,LAKECITY
2.019E+11,1/3/19,1906,1/3/19,1906,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-BODYFORCE,WEST,D,D3,SLU/CASCADE
2.019E+11,1/3/19,1920,1/4/19,654,THEFT-BUILDING,THEFT-BUILDING,SOUTH,R,R2,MOUNT BAKER
2.019E+11,1/3/19,1930,1/4/19,702,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,C,C2,MILLER PARK
2.019E+11,1/3/19,1930,1/3/19,1946,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R3,HILLMAN CITY
2.019E+11,1/3/19,1935,1/3/19,2155,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-WEAPON,SOUTHWEST,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS
2.019E+11,1/3/19,1945,1/6/19,1633,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,U,U1,ROOSEVELT/RAVENNA
2.019E+11,1/3/19,2000,1/4/19,717,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,F,F3,HIGHLAND PARK
2.019E+11,1/3/19,2000,1/4/19,956,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q3,QUEEN ANNE
2.019E+11,1/3/19,2000,1/4/19,1243,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U2,UNIVERSITY
2.019E+13,1/3/19,2100,1/3/19,2259,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N3,NORTHGATE
2.019E+13,1/3/19,2130,1/4/19,1105,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W1,ALKI
2.019E+11,1/3/19,2130,1/4/19,955,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,L,L2,ROOSEVELT/RAVENNA
2.019E+11,1/3/19,2130,1/4/19,1550,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
2.019E+11,1/3/19,2156,1/3/19,2156,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,W,W1,NORTH ADMIRAL
2.019E+11,1/3/19,2200,1/3/19,2230,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,B,B2,BALLARD SOUTH
2.019E+11,1/3/19,2200,1/4/19,753,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,R,R2,CLAREMONT/RAINIER VISTA
2.019E+11,1/3/19,2245,1/4/19,26,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E1,CAPITOL HILL
2.019E+11,1/3/19,2325,1/4/19,11,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L1,LAKECITY
2.019E+11,1/3/19,2345,1/4/19,1307,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,G,G3,MADRONA/LESCHI
2.019E+12,1/4/19,0,1/8/19,1320,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTHWEST,W,W2,NORTH DELRIDGE
2.019E+11,1/4/19,45,1/4/19,1316,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B1,BALLARD SOUTH
2.019E+11,1/4/19,200,1/5/19,1420,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K2,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,300,1/5/19,1546,THEFT-BUILDING,THEFT-BUILDING,NORTH,B,B3,FREMONT
2.019E+13,1/4/19,500,1/4/19,759,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,NORTH,B,B1,BALLARD SOUTH
2.019E+12,1/4/19,855,2/28/19,855,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,B,B1,BALLARD SOUTH
2.019E+13,1/4/19,855,1/15/19,905,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B1,BALLARD SOUTH
2.019E+11,1/4/19,930,1/4/19,1204,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N3,NORTHGATE
2.019E+13,1/4/19,930,1/5/19,1007,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U2,UNIVERSITY
2.019E+13,1/4/19,1000,1/22/19,912,THEFT-ALL OTHER,THEFT-OTH,NORTH,N,N2,BITTERLAKE
2.019E+11,1/4/19,1032,1/4/19,1037,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,SOUTH,R,R2,NORTH BEACON HILL
2.019E+13,1/4/19,1130,1/6/19,1325,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.019E+12,1/4/19,1200,1/12/19,1430,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S1,MID BEACON HILL
2.019E+11,1/4/19,1222,1/4/19,1222,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,M,M2,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,1246,1/4/19,1246,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B1,BALLARD SOUTH
2.019E+13,1/4/19,1300,1/4/19,1933,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,JUDKINS PARK/NORTH BEACON HILL
2.019E+13,1/4/19,1335,1/10/19,2050,THEFT-ALL OTHER,THEFT-OTH,NORTH,J,J3,ROOSEVELT/RAVENNA
2.019E+11,1/4/19,1404,1/4/19,1404,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B1,BALLARD SOUTH
2.019E+11,1/4/19,1428,1/4/19,1428,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B1,BALLARD SOUTH
2.019E+13,1/4/19,1455,1/4/19,1600,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K1,DOWNTOWN COMMERCIAL
2.019E+12,1/4/19,1500,1/23/19,1523,THEFT-ALL OTHER,THEFT-OTH,UNKNOWN,,,UNKNOWN
2.019E+11,1/4/19,1500,1/4/19,1733,ROBBERY-STREET,ROBBERY-STREET-WEAPON,NORTH,U,U2,UNIVERSITY
2.019E+13,1/4/19,1530,1/4/19,2055,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G3,MADRONA/LESCHI
2.019E+11,1/4/19,1532,1/4/19,1532,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTH,R,R2,MOUNT BAKER
2.019E+11,1/4/19,1540,1/4/19,1542,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,F,F3,HIGHLAND PARK
2.019E+11,1/4/19,1551,1/5/19,2137,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R3,COLUMBIA CITY
2.019E+13,1/4/19,1552,1/4/19,1658,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,MADRONA/LESCHI
2.019E+11,1/4/19,1555,1/4/19,1555,THEFT-BUILDING,THEFT-BUILDING,WEST,M,M2,DOWNTOWN COMMERCIAL
2.019E+12,1/4/19,1600,1/12/19,1218,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,EAST,C,C2,MADISON PARK
2.019E+12,1/4/19,1600,1/8/19,1927,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K1,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,1700,1/7/19,1217,THEFT-ALL OTHER,THEFT-OTH,SOUTH,O,O1,SODO
2.019E+11,1/4/19,1700,1/4/19,1728,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,R,R1,NORTH BEACON HILL
2.019E+11,1/4/19,1700,1/7/19,610,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O3,GEORGETOWN
2.019E+11,1/4/19,1703,1/4/19,1703,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,WEST,K,K3,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,1727,2/20/19,1159,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E1,CAPITOL HILL
2.019E+11,1/4/19,1727,1/4/19,1727,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B2,BALLARD SOUTH
2.019E+11,1/4/19,1730,1/5/19,856,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,MOUNT BAKER
2.019E+11,1/4/19,1730,1/5/19,1840,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2.019E+11,1/4/19,1736,1/5/19,1203,MOTOR VEHICLE THEFT,VEH-THEFT-TRUCK,WEST,D,D3,SLU/CASCADE
2.019E+11,1/4/19,1800,1/5/19,750,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,D,D1,BELLTOWN
2.019E+11,1/4/19,1800,1/7/19,918,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,G,G3,MADRONA/LESCHI
2.019E+13,1/4/19,1800,1/5/19,1043,THEFT-ALL OTHER,THEFT-OTH,SOUTH,R,R2,MOUNT BAKER
2.019E+11,1/4/19,1815,1/4/19,1815,ROBBERY-STREET,ROBBERY-STREET-GUN,EAST,G,G2,MADRONA/LESCHI
2.019E+11,1/4/19,1830,1/4/19,2119,THEFT-BUILDING,THEFT-BUILDING,EAST,G,G3,JUDKINS PARK/NORTH BEACON HILL
2.019E+11,1/4/19,1835,1/4/19,1858,THEFT-ALL OTHER,THEFT-OTH,SOUTH,S,S3,RAINIER BEACH
2.019E+11,1/4/19,1919,1/4/19,1919,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTH,R,R1,NORTH BEACON HILL
2.019E+11,1/4/19,1923,1/4/19,1923,THEFT-SHOPLIFT,THEFT-SHOPLIFT,SOUTHWEST,F,F3,HIGHLAND PARK
2.019E+11,1/4/19,2000,1/4/19,2018,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,L,L1,NORTHGATE
2.019E+11,1/4/19,2000,1/5/19,2318,THEFT-BICYCLE,THEFT-BICYCLE,NORTH,U,U2,UNIVERSITY
2.019E+13,1/4/19,2000,1/14/19,2204,THEFT-ALL OTHER,THEFT-OTH,EAST,E,E3,FIRST HILL
2.019E+13,1/4/19,2000,1/8/19,931,THEFT-BICYCLE,THEFT-BICYCLE,SOUTHWEST,F,F2,SOUTH DELRIDGE
2.019E+11,1/4/19,2005,1/4/19,2005,ROBBERY-COMMERCIAL,ROBBERY-BUSINESS-BODYFORCE,WEST,M,M2,DOWNTOWN COMMERCIAL
2.019E+13,1/4/19,2035,1/6/19,1759,THEFT-ALL OTHER,THEFT-OTH,NORTH,U,U1,UNIVERSITY
2.019E+11,1/4/19,2041,1/4/19,2041,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,2100,1/5/19,1052,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,U,U3,ROOSEVELT/RAVENNA
2.019E+11,1/4/19,2100,1/7/19,1239,MOTOR VEHICLE THEFT,VEH-THEFT-MTRCYCLE,WEST,Q,Q2,QUEEN ANNE
2.019E+12,1/4/19,2200,1/14/19,1347,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q1,MAGNOLIA
2.019E+13,1/4/19,2200,1/7/19,937,THEFT-BUILDING,THEFT-BUILDING,WEST,Q,Q3,QUEEN ANNE
2.019E+11,1/4/19,2300,1/5/19,1429,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,WEST,Q,Q1,MAGNOLIA
2.019E+11,1/4/19,2300,1/5/19,1451,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M1,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,2300,1/5/19,928,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E3,FIRST HILL
2.019E+11,1/4/19,2304,1/4/19,2304,ROBBERY-RESIDENTIAL,ROBBERY-RESIDENCE-BODYFORCE,EAST,E,E3,FIRST HILL
2.019E+11,1/4/19,2330,1/5/19,602,ROBBERY-STREET,ROBBERY-STREET-GUN,WEST,M,M2,DOWNTOWN COMMERCIAL
2.019E+11,1/4/19,2337,1/4/19,2337,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,NORTH,J,J1,BALLARD NORTH
2.019E+11,1/5/19,0,1/5/19,941,ARSON,ARSON-OTHER,NORTH,L,L2,ROOSEVELT/RAVENNA
2.019E+11,1/5/19,2,1/5/19,2,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,W,W3,MORGAN
2.019E+11,1/5/19,133,1/5/19,1737,THEFT-ALL OTHER,THEFT-MAIL,SOUTHWEST,W,W1,NORTH ADMIRAL
2.019E+13,1/5/19,230,1/6/19,1359,THEFT-ALL OTHER,THEFT-PKPOCKET,EAST,E,E2,CAPITOL HILL
2.019E+11,1/5/19,300,1/5/19,303,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O1,SODO
2.019E+11,1/5/19,345,1/5/19,500,THEFT-ALL OTHER,THEFT-OTH,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.019E+11,1/5/19,351,1/7/19,739,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,NORTH,B,B2,FREMONT
2.019E+11,1/5/19,442,1/5/19,529,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,Q,Q2,QUEEN ANNE
2.019E+11,1/5/19,600,1/8/19,1025,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,EAST,E,E1,CAPITOL HILL
2.019E+11,1/5/19,700,1/6/19,1638,THEFT-ALL OTHER,THEFT-PKPOCKET,WEST,M,M1,DOWNTOWN COMMERCIAL
2.019E+11,1/5/19,818,1/5/19,824,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D3,SLU/CASCADE
2.019E+11,1/5/19,845,1/5/19,845,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,J,J2,PHINNEY RIDGE
2.019E+11,1/5/19,855,1/5/19,1428,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M2,SLU/CASCADE
2.019E+11,1/5/19,1020,1/5/19,1049,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,WEST,Q,Q3,QUEEN ANNE
2.019E+13,1/5/19,1050,1/5/19,1108,THEFT-BUILDING,THEFT-BUILDING,WEST,K,K1,DOWNTOWN COMMERCIAL
2.019E+11,1/5/19,1100,1/5/19,1305,THEFT-BUILDING,THEFT-BUILDING,SOUTHWEST,W,W2,ALASKA JUNCTION
2.019E+11,1/5/19,1100,1/5/19,1100,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.019E+11,1/5/19,1200,1/7/19,31,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W2,NORTH ADMIRAL
2.019E+12,1/5/19,1200,1/11/19,1640,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,SOUTH,S,S2,BRIGHTON/DUNLAP
2.019E+11,1/5/19,1207,1/5/19,1207,THEFT-BUILDING,THEFT-BUILDING,EAST,E,E1,CAPITOL HILL
2.019E+11,1/5/19,1330,1/5/19,1802,THEFT-ALL OTHER,THEFT-OTH,WEST,M,M1,DOWNTOWN COMMERCIAL
2.019E+11,1/5/19,1330,1/5/19,1724,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,SOUTHWEST,W,W3,FAUNTLEROY SW
2.019E+11,1/5/19,1434,1/5/19,1508,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E1,CAPITOL HILL
2.019E+11,1/5/19,1449,1/5/19,1449,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2.019E+12,1/5/19,1500,1/8/19,1451,THEFT-ALL OTHER,THEFT-MAIL,EAST,C,C1,MILLER PARK
2.019E+11,1/5/19,1507,1/5/19,1508,ROBBERY-STREET,ROBBERY-STREET-BODYFORCE,SOUTH,R,R1,NORTH BEACON HILL
2.019E+11,1/5/19,1525,1/5/19,1630,BURGLARY-COMMERCIAL,BURGLARY-NOFORCE-NONRES,WEST,M,M3,DOWNTOWN COMMERCIAL
2.019E+12,1/5/19,1530,1/10/19,1628,THEFT-ALL OTHER,THEFT-OTH,SOUTHWEST,F,F3,HIGHLAND PARK
2.019E+12,1/5/19,1600,1/15/19,944,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,SOUTHWEST,W,W3,HIGH POINT
2.019E+11,1/5/19,1630,1/6/19,642,THEFT-ALL OTHER,THEFT-OTH,NORTH,B,B3,WALLINGFORD
2.019E+11,1/5/19,1653,1/7/19,1846,THEFT-SHOPLIFT,THEFT-SHOPLIFT,EAST,E,E1,CAPITOL HILL
2.019E+11,1/5/19,1655,1/5/19,1655,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,U,U2,UNIVERSITY
2.019E+11,1/5/19,1700,1/6/19,201,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,N,N1,BITTERLAKE
2.019E+11,1/5/19,1715,1/5/19,2126,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,J,J2,GREENWOOD
2.019E+11,1/5/19,1722,1/5/19,1722,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M2,DOWNTOWN COMMERCIAL
